"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Kerry County Council","%","8.9742406057"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Limerick City & County Council","%","9.7126003155"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Tipperary County Council","%","9.5432365411"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Waterford City & County Council","%","9.3296327925"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Galway City Council","%","9.1739130435"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Galway County Council","%","8.2253972493"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Leitrim County Council","%","9.1513492374"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Mayo  County Council","%","8.6650082919"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Roscommon County Council","%","9.502526234"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Sligo County Council","%","10.068327974"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Cavan County Council","%","7.8329777507"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Donegal County Council","%","8.8811728395"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Both sexes","Monaghan County Council","%","8.1593194122"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Ireland","%","10.00502318"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Carlow County Council","%","10.041666667"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Dublin City Council","%","9.3427414086"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Dún Laoghaire Rathdown County Council","%","9.0494791667"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Fingal County Council","%","9.8028247798"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","South Dublin County Council","%","10.347107438"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Kildare County Council","%","10.795011691"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Kilkenny County Council","%","8.8489208633"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Laois County Council","%","9.86792923"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Longford County Council","%","9.1772151899"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Louth County Council","%","9.8516002146"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Meath County Council","%","10.284350353"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Offaly County Council","%","10.760998811"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Westmeath County Council","%","10.153514678"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Wexford County Council","%","11.436340371"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Wicklow County Council","%","11.202054245"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Clare County Council","%","9.343220339"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Cork City Council","%","10.322385349"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Cork County Council","%","10.488985883"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Kerry County Council","%","10.111742077"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Limerick City & County Council","%","10.901045857"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Tipperary County Council","%","10.151019773"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Waterford City & County Council","%","9.9068585944"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Galway City Council","%","10.208421948"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Galway County Council","%","8.785630613"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Leitrim County Council","%","10.147172734"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Mayo  County Council","%","9.4397076736"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Roscommon County Council","%","9.8983816334"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Sligo County Council","%","10.442546584"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Cavan County Council","%","8.2388059701"
"Population with a disability to some extent as a percentage","2022","10 - 14 years","Male","Donegal County Council","%","9.7667419112"
